model_name_formatted,scenario_label,dataset_name_formatted,post_training_stage,precision,recall,f1_score
Allenai_Llama_3_1_Tulu_3_1_8B,answer unknown,BB/Known unknowns,NA,0.8846153846153846,1.0,0.9387755102040817
Allenai_Llama_3_1_Tulu_3_1_8B,answer unknown,CoCoNot/Unknowns,NA,1.0,0.9701492537313433,0.9848484848484849
Allenai_Llama_3_1_Tulu_3_1_8B,answer unknown,CoCoNot/Unsupported,NA,0.9907407407407407,0.8916666666666667,0.9385964912280702
Allenai_Llama_3_1_Tulu_3_1_8B,answer unknown,KUQ/Future unknowns,NA,0.9535864978902954,0.6932515337423313,0.8028419182948491
Allenai_Llama_3_1_Tulu_3_1_8B,answer unknown,KUQ/Unsolved problems,NA,0.8986486486486487,0.5659574468085107,0.6945169712793734
Allenai_Llama_3_1_Tulu_3_1_8B,false premise,CoCoNot/False presumptions,NA,0.9375,0.7228915662650602,0.8163265306122449
Allenai_Llama_3_1_Tulu_3_1_8B,false premise,FalseQA,NA,0.8867313915857605,0.3988355167394469,0.5502008032128514
Allenai_Llama_3_1_Tulu_3_1_8B,false premise,KUQ/False assumptions,NA,0.9354838709677419,0.5451127819548872,0.6888361045130641
Allenai_Llama_3_1_Tulu_3_1_8B,false premise,QAQA,NA,0.7516339869281046,0.40350877192982454,0.5251141552511416
Allenai_Llama_3_1_Tulu_3_1_8B,stale,CoCoNot/Temporal,NA,1.0,0.8378378378378378,0.9117647058823529
Allenai_Llama_3_1_Tulu_3_1_8B,stale,FreshQA,NA,0.36633663366336633,0.7872340425531915,0.5
Allenai_Llama_3_1_Tulu_3_1_8B,subjective,CoCoNot/Humanizing,NA,1.0,0.8658536585365854,0.9281045751633987
Allenai_Llama_3_1_Tulu_3_1_8B,subjective,CoCoNot/Subjective,NA,1.0,0.68,0.8095238095238095
Allenai_Llama_3_1_Tulu_3_1_8B,subjective,KUQ/Controversial,NA,0.9597989949748744,0.5667655786350149,0.7126865671641791
Allenai_Llama_3_1_Tulu_3_1_8B,subjective,MoralChoice,NA,0.9870967741935484,0.225,0.3664670658682635
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,ALCUNA,NA,0.8707557502738226,0.4590069284064665,0.6011342155009451
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,BB/Disambiguate,NA,0.868421052631579,0.44,0.584070796460177
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,BBQ,NA,0.953416149068323,0.5179977502812149,0.6712827988338192
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,GPQA-Diamond,NA,0.875,0.175,0.2916666666666667
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,GSM8K,NA,0.9987745098039216,0.6718878812860676,0.8033514046328241
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,MMLU History,NA,1.0,0.05128205128205128,0.0975609756097561
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,MMLU Math,NA,0.9736842105263158,0.2781954887218045,0.4327485380116959
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,MediQ,NA,0.981042654028436,0.14691270404542228,0.25555555555555554
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,Musique,NA,0.9815242494226328,0.3229483282674772,0.48599199542595767
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,QASPER,NA,0.32599118942731276,0.9367088607594937,0.48366013071895425
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,SQuAD 2.0,NA,0.9744525547445255,0.3015245623941276,0.46054333764553684
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,UMWP,NA,0.9918032786885246,0.3457142857142857,0.5127118644067796
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified context,WorldSense,NA,0.48050036791758644,0.7557870370370371,0.5874943769680612
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.8367346938775511,0.9111111111111111
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified intent,KUQ/Ambiguous,NA,0.755656108597285,0.5529801324503312,0.638623326959847
Allenai_Llama_3_1_Tulu_3_1_8B,underspecified intent,SituatedQA/Geo,NA,0.8336812804453723,0.6753100338218715,0.7461849890999689
Gemma_3_1B_Instruct,answer unknown,BB/Known unknowns,NA,0.8333333333333334,0.6521739130434783,0.7317073170731707
Gemma_3_1B_Instruct,answer unknown,CoCoNot/Unknowns,NA,1.0,0.9253731343283582,0.9612403100775194
Gemma_3_1B_Instruct,answer unknown,CoCoNot/Unsupported,NA,1.0,0.925,0.961038961038961
Gemma_3_1B_Instruct,answer unknown,KUQ/Future unknowns,NA,0.90625,0.8006134969325154,0.8501628664495114
Gemma_3_1B_Instruct,answer unknown,KUQ/Unsolved problems,NA,0.8559670781893004,0.8851063829787233,0.8702928870292888
Gemma_3_1B_Instruct,false premise,CoCoNot/False presumptions,NA,0.8571428571428571,0.5060240963855421,0.6363636363636364
